"EndDate","Symbol","EPInvest"
"2019-12-31","002179","829.0000"
"2020-12-31","002179","3087.9000"
"2021-12-31","002179","1905.0100"
"2016-12-31","002189","65.0000"
"2020-12-31","002189","200.0000"
"2011-12-31","002203","1173.6000"
"2013-12-31","002203","667.3000"
"2014-12-31","002203","6043.8000"
"2015-12-31","002203","2427.7800"
"2016-12-31","002203","1695.3000"
"2018-12-31","002203","4967.4400"
"2019-12-31","002203","1635.5726"
"2020-12-31","002203","20957.5300"
"2016-12-31","002222","75.6800"
"2008-12-31","002229","94.2000"
"2016-12-31","002229","194.1000"
"2015-12-31","002233","3330.7800"
"2016-12-31","002233","2844.0000"
"2015-12-31","002236","565.5600"
"2016-12-31","002236","245.8700"
"2014-12-31","002237","5515.4300"
"2015-12-31","002237","7892.0450"
"2017-12-31","002237","23291.1300"
"2018-12-31","002237","19536.5400"
"2019-12-31","002237","26983.9700"
"2021-12-31","002237","19185.4100"
"2020-12-31","002239","300.0000"
"2016-12-31","002241","926.5000"
"2018-12-31","002244","44200.0000"
"2016-12-31","002246","2390.0000"
"2017-12-31","002246","1993.0000"
"2021-12-31","002246","6010.0000"
"2013-12-31","002249","120.0000"
"2014-12-31","002249","122.3700"
"2015-12-31","002249","162.3000"
"2016-12-31","002249","162.3000"
"2014-12-31","002250","16000.0000"
"2015-12-31","002250","17556.8100"
"2016-12-31","002250","15363.5900"
"2016-12-31","002252","280.0000"
"2013-12-31","002271","3612.9700"
"2014-12-31","002271","2420.6550"
"2015-12-31","002271","2287.4100"
"2016-12-31","002271","2115.7400"
"2017-12-31","002271","4449.2700"
"2018-12-31","002271","4149.2994"
"2016-12-31","002276","150.5100"
"2016-12-31","002281","25.0000"
"2020-12-31","002281","141.6900"
"2015-12-31","002286","960.9000"
"2016-12-31","002286","1040.0000"
"2014-12-31","002287","151.9400"
"2015-12-31","002287","18.4500"
"2016-12-31","002287","25.8000"
"2016-12-31","002292","77.1900"
"2015-12-31","002296","0.4000"
"2016-12-31","002296","1.9900"
"2017-12-31","002296","0.6900"
"2016-12-31","002299","3759.3500"
"2011-12-31","002300","300.0000"
"2016-12-31","002300","32.3400"
"2016-12-31","002304","3281.8100"
"2016-12-31","002317","267.7200"
"2014-12-31","002318","1700.0000"
"2015-12-31","002318","1300.0000"
"2014-12-31","002326","1675.8000"
"2016-12-31","002331","133.6000"
"2010-12-31","002340","6965.0000"
"2011-12-31","002340","8070.7800"
"2012-12-31","002340","5482.9800"
"2014-12-31","002340","13602.6400"
"2016-12-31","002340","17120.2000"
"2017-12-31","002340","33195.8800"
"2016-12-31","002348","20.0000"
"2016-12-31","002353","34.9900"
"2020-12-31","002365","2000.0000"
"2016-12-31","002368","518916.6000"
"2018-12-31","002371","485.3300"
"2016-12-31","002372","186.9400"
"2016-12-31","002385","1512.7200"
"2014-12-31","002386","12000.0000"
"2018-12-31","002386","15700.0000"
"2016-12-31","002394","2247.2000"
"2016-12-31","002396","61.5500"
"2020-12-31","002407","1300.0000"
"2016-12-31","002415","263.4800"
"2011-12-31","002418","747.9800"
"2015-12-31","002419","2243.2500"
"2016-12-31","002419","1539.0000"
"2010-12-31","002422","2225.9000"
"2011-12-31","002422","3339.4100"
"2012-12-31","002422","3436.8400"
"2013-12-31","002422","44259.8067"
"2015-12-31","002422","37237.0000"
"2016-12-31","002422","22031.6300"
"2017-12-31","002422","24294.0000"
"2018-12-31","002422","36400.0000"
"2020-12-31","002422","47334.0000"
"2016-12-31","002438","43.0000"
"2016-12-31","002450","99.3400"
"2016-12-31","002454","64.0000"
"2016-12-31","002456","82.4000"
"2018-12-31","002460","11087.8000"
"2019-12-31","002460","12284.0000"
"2020-12-31","002460","8372.0000"
"2013-12-31","002463","2200.0000"
"2016-12-31","002465","60.0000"
"2020-12-31","002465","145700.0000"
"2011-12-31","002466","956.3700"
"2012-12-31","002466","1438.2000"
"2013-12-31","002466","1588.4600"
"2014-12-31","002466","693.3700"
"2016-12-31","002474","3.5500"
"2016-12-31","002475","234.0000"
"2016-12-31","002477","2572.7500"
"2011-12-31","002486","167.5700"
"2017-12-31","002496","40000.0000"
"2016-12-31","002498","36.0000"
"2016-12-31","002508","131.6400"
"2016-12-31","002509","168.6800"
"2011-12-31","002515","300.0000"
"2016-12-31","002523","111.0000"
"2016-12-31","002527","37.9000"
"2017-12-31","002527","44.5000"
"2018-12-31","002527","45.6500"
"2016-12-31","002543","754.9800"
"2016-12-31","002544","309.1100"
"2017-12-31","002544","3540.0000"
"2018-12-31","002544","1200.0000"
"2020-12-31","002544","1400.0000"
"2016-12-31","002548","394.7900"
"2016-12-31","002557","203.0000"
"2016-12-31","002578","347.1000"
"2016-12-31","002582","1251.3200"
"2014-12-31","002594","35300.0000"
"2016-12-31","002594","25245.8400"
"2020-12-31","002600","8925.7600"
"2017-12-31","002601","31590.0000"
"2011-12-31","002626","1454.0000"
"2013-12-31","002626","2400.0000"
"2016-12-31","002626","575.0000"
"2016-12-31","002635","8.7200"
"2016-12-31","002639","49.2000"
"2016-12-31","002641","155.4200"
"2020-12-31","002641","85.2100"
"2016-12-31","002653","1000.0000"
"2012-12-31","002672","1913.0000"
"2013-12-31","002674","2067.1900"
"2016-12-31","002674","4549.1600"
"2016-12-31","002728","340.1600"
"2016-12-31","002734","9139.0000"
"2018-12-31","002734","8532.4300"
"2019-12-31","002734","9952.8700"
"2015-12-31","002773","219.6600"
"2017-12-31","002773","468.0400"
"2018-12-31","002773","776.1100"
"2019-12-31","002773","785.0600"
"2020-12-31","002773","493.2100"
"2018-12-31","002783","1227.5300"
"2017-12-31","002815","4956.9400"
"2018-12-31","002815","3529.5300"
"2020-12-31","002841","50.0000"
"2020-12-31","002847","1106.6400"
"2021-12-31","002847","753.0000"
"2017-12-31","002913","2529.5200"
"2019-12-31","002915","2080.3900"
"2019-12-31","002918","3930.3400"
"2019-12-31","002937","255.4000"
"2018-12-31","002938","32200.0000"
"2019-12-31","002938","37000.0000"
"2016-12-31","300004","79.1900"
"2016-12-31","300015","318.1500"
"2016-12-31","300016","91.7500"
"2015-12-31","300019","493.6500"
"2016-12-31","300019","315.0200"
"2016-12-31","300024","26.5300"
"2016-12-31","300030","73.2900"
"2013-12-31","300034","372.0000"
"2016-12-31","300034","13.0000"
"2016-12-31","300039","134.0100"
"2016-12-31","300043","2.6600"
"2016-12-31","300047","10.0000"
"2016-12-31","300062","23.4400"
"2016-12-31","300067","2060.7900"
"2020-12-31","300070","500.0000"
"2016-12-31","300077","0.8000"
"2016-12-31","300080","2204.3000"
